source,sink,weight,count
1011,1011,4130,98
1011,1012,1965,48
1011,1017,527,13
1011,1073,206,6
1012,1011,522,15
1012,1012,5508,137
1012,1015,306,9
1012,1016,439,11
1012,1017,1048,26
1013,1012,1731,34
1013,1013,10073,207
1013,1014,659,9
1013,1015,690,16
1013,1017,632,9
1013,1018,270,7
1013,1052,239,6
1013,1053,256,8
1013,1054,295,6
1013,1068,291,6
1015,1012,714,22
1015,1013,1099,32
1015,1015,4437,111
1015,1016,873,23
1015,1017,466,13
1015,1052,400,8
1015,1053,244,9
1016,1012,1500,30
1016,1015,356,13
1016,1016,2788,74
1016,1017,998,22
1016,1053,447,13
1017,1011,575,15
1017,1012,1370,40
1017,1016,374,10
1017,1017,4063,115
1017,1018,454,9
1017,1071,168,7
1017,1072,524,16
1017,1073,135,6
1017,1074,422,10
1018,1011,1613,40
1018,1012,1766,51
1018,1017,1031,33
1018,1018,4699,138
1018,1019,407,11
1018,1025,261,8
1018,1072,315,6
1018,1073,501,10
1018,1093,696,20
1018,1097,148,6
1018,1098,208,8
1019,1012,686,20
1019,1017,428,15
1019,1018,587,11
1019,1019,5802,155
1019,1071,282,6
1019,1077,187,6
1019,1095,705,12
1019,1098,234,8
1021,1021,1347,35
1021,1022,1099,27
1021,1031,872,13
1021,1034,269,11
1021,1101,564,6
1022,1021,255,6
1022,1022,203,6
1023,1023,629,14
1023,1024,446,12
1023,1025,1107,28
1023,1031,337,6
1024,1011,503,10
1024,1012,408,12
1024,1023,440,11
1024,1024,3210,80
1024,1025,1439,37
1024,1032,165,6
1024,1099,248,8
1025,1011,269,9
1025,1012,1164,22
1025,1021,404,8
1025,1023,462,12
1025,1024,638,17
1025,1025,5049,142
1025,1034,661,17
1025,1060,127,8
1025,1102,223,7
1031,1012,267,8
1031,1025,437,9
1031,1031,1209,26
1031,1032,702,20
1032,1012,271,8
1032,1021,334,8
1032,1022,250,6
1032,1025,395,12
1032,1032,1057,25
1032,1034,606,16
1033,1012,698,19
1033,1025,1033,25
1033,1032,433,12
1033,1033,1097,33
1033,1034,301,13
1033,1035,1868,57
1034,1012,667,19
1034,1025,1554,41
1034,1032,737,12
1034,1034,3436,99
1035,1011,215,6
1035,1012,953,16
1035,1025,1041,35
1035,1033,215,8
1035,1034,294,10
1035,1035,3104,109
1035,1121,418,14
1035,1398,200,8
1035,1511,438,16
1051,1012,970,25
1051,1013,394,12
1051,1051,2706,71
1051,1052,1457,37
1051,1053,359,9
1052,1012,497,11
1052,1013,325,9
1052,1015,357,9
1052,1051,600,16
1052,1052,1958,51
1052,1053,1112,31
1053,1012,724,22
1053,1052,333,9
1053,1053,5955,145
1053,1054,697,18
1053,1058,209,7
1053,1099,105,6
1054,1012,664,17
1054,1015,242,7
1054,1017,230,6
1054,1053,1395,36
1054,1054,3327,91
1054,1071,570,15
1054,1073,285,8
1055,1012,519,16
1055,1055,3494,100
1055,1056,415,13
1055,1061,2989,80
1055,1063,198,6
1055,1064,218,6
1056,1012,471,12
1056,1053,835,21
1056,1054,136,7
1056,1055,626,19
1056,1056,1539,43
1056,1057,1105,30
1056,1061,1760,45
1057,1012,272,7
1057,1053,402,15
1057,1056,617,9
1057,1057,2562,65
1057,1061,1465,20
1057,1062,1628,29
1057,1066,662,13
1057,1068,277,10
1057,1181,198,6
1058,1012,364,10
1058,1053,558,16
1058,1054,351,7
1058,1057,629,17
1058,1058,2261,53
1058,1059,1029,34
1058,1061,259,11
1058,1062,1419,26
1058,1071,363,8
1058,1075,623,25
1058,1077,159,6
1059,1059,1416,44
1059,1062,268,9
1059,1068,437,8
1059,1073,317,7
1060,1012,452,9
1060,1060,897,36
1060,1066,600,18
1060,1068,834,28
1060,1069,1509,43
1060,1171,290,15
1061,1012,954,21
1061,1053,401,9
1061,1055,1090,22
1061,1061,1390,43
1061,1062,332,10
1061,1063,446,10
1061,1068,165,6
1062,1012,247,7
1062,1059,185,6
1062,1062,1965,48
1062,1065,877,19
1062,1066,273,8
1062,1068,389,9
1063,1011,254,6
1063,1055,445,13
1063,1061,498,17
1063,1063,2717,69
1063,1064,950,23
1063,1067,326,9
1063,1068,342,14
1064,1012,352,9
1064,1053,246,6
1064,1057,228,7
1064,1062,498,16
1064,1063,1842,42
1064,1064,2754,59
1064,1065,469,15
1064,1066,251,9
1064,1067,418,10
1064,1068,394,11
1064,7413,227,8
1065,1012,224,8
1065,1062,509,11
1065,1065,4367,83
1065,1066,758,19
1065,1068,325,9
1066,1012,958,26
1066,1053,524,9
1066,1059,286,7
1066,1062,1105,21
1066,1065,769,19
1066,1066,7098,221
1066,1068,1354,45
1066,1069,331,9
1066,1171,271,10
1066,2132,194,7
1067,1012,65,7
1067,1055,288,6
1067,1061,258,8
1067,1063,377,9
1067,1067,3584,111
1067,1068,867,18
1067,1181,332,9
1068,1012,270,12
1068,1060,179,6
1068,1063,507,9
1068,1065,356,10
1068,1066,394,13
1068,1068,4104,107
1068,1069,2173,56
1068,1112,234,8
1069,1012,325,10
1069,1060,495,13
1069,1066,1098,18
1069,1068,4448,106
1069,1069,3717,95
1071,1012,691,24
1071,1017,234,6
1071,1059,177,6
1071,1071,3250,105
1071,1072,725,20
1071,1073,596,17
1071,1074,185,6
1071,1077,538,16
1071,1082,625,20
1072,1012,872,15
1072,1017,418,11
1072,1072,5521,124
1072,1073,1521,31
1072,1074,823,18
1073,1012,630,18
1073,1017,237,7
1073,1072,1788,48
1073,1073,2567,68
1073,1074,1750,47
1073,1078,865,17
1073,1079,699,19
1074,1012,441,10
1074,1017,394,13
1074,1072,596,18
1074,1073,1511,42
1074,1074,2076,52
1074,1079,216,9
1074,1097,218,7
1075,1012,265,6
1075,1058,523,11
1075,1059,966,28
1075,1071,180,8
1075,1073,377,8
1075,1075,1965,45
1075,1076,493,11
1075,1081,600,15
1076,1012,649,11
1076,1059,253,8
1076,1073,331,8
1076,1075,411,9
1076,1076,2241,54
1076,1077,1361,33
1076,1082,383,11
1077,1012,139,6
1077,1017,385,12
1077,1071,449,12
1077,1073,353,8
1077,1075,282,8
1077,1077,1836,63
1077,1081,208,8
1077,1082,1155,42
1077,1083,170,6
1078,1011,265,6
1078,1012,874,18
1078,1017,317,6
1078,1072,591,20
1078,1073,566,19
1078,1078,3917,112
1078,1079,2137,66
1078,1083,199,6
1079,1012,744,15
1079,1017,433,7
1079,1072,501,15
1079,1073,448,13
1079,1078,1819,44
1079,1079,4776,118
1079,1082,430,11
1079,1091,238,6
1081,1066,377,6
1081,1081,767,30
1081,1082,859,35
1081,1181,306,14
1082,1012,268,8
1082,1077,264,6
1082,1081,254,7
1082,1082,3120,106
1082,1083,462,11
1082,1181,212,7
1082,1182,246,7
1083,1011,172,6
1083,1082,1508,44
1083,1083,911,29
1083,1181,199,7
1086,1086,246,7
1086,1087,348,9
1087,1087,2519,60
1087,1095,566,19
1087,1398,375,12
1091,1011,984,16
1091,1012,567,14
1091,1017,568,12
1091,1018,644,14
1091,1072,187,6
1091,1091,2999,76
1091,1092,845,22
1091,1093,965,25
1091,1097,2229,47
1091,1098,292,7
1091,1099,155,7
1092,1012,555,10
1092,1073,286,6
1092,1091,250,6
1092,1092,2514,56
1092,1093,729,22
1092,1098,329,9
1093,1012,731,18
1093,1018,279,8
1093,1092,853,19
1093,1093,3320,95
1093,1095,274,6
1093,1098,509,13
1094,1012,473,11
1094,1093,604,13
1094,1094,2030,40
1094,1095,929,26
1094,1098,625,14
1095,1011,261,7
1095,1012,419,7
1095,1093,898,19
1095,1094,267,7
1095,1095,1737,40
1095,1098,675,18
1097,1012,341,16
1097,1092,436,13
1097,1093,494,17
1097,1097,2050,48
1097,1098,1831,65
1097,1112,254,6
1098,1012,354,9
1098,1092,219,6
