source,sink,weight,count
1011,1011,8150,204
1011,1012,3703,89
1011,1013,150,6
1011,1016,478,10
1011,1017,1544,40
1011,1018,1071,28
1011,1019,448,11
1011,1053,293,7
1011,1069,268,10
1011,1072,278,8
1011,1073,297,8
1011,1091,445,10
1011,1092,227,6
1011,1093,220,6
1011,1101,319,8
1012,1011,2026,53
1012,1012,12689,344
1012,1013,526,15
1012,1015,1054,26
1012,1016,1124,28
1012,1017,3020,76
1012,1018,445,14
1012,1019,394,15
1012,1051,230,6
1012,1053,179,6
1012,1054,444,11
1012,1064,245,7
1012,1071,383,11
1012,1072,267,8
1012,1073,563,14
1012,1074,145,6
1012,1075,423,12
1012,1077,213,11
1012,1078,247,8
1012,1081,244,6
1012,1091,349,8
1012,1097,299,6
1012,1098,451,9
1013,1011,886,26
1013,1012,2971,66
1013,1013,16750,394
1013,1014,1591,39
1013,1015,2791,58
1013,1016,620,15
1013,1017,1907,34
1013,1018,959,22
1013,1031,222,6
1013,1051,808,25
1013,1052,412,11
1013,1053,428,13
1013,1054,506,13
1013,1055,408,8
1013,1061,623,13
1013,1062,232,7
1013,1066,170,6
1013,1067,255,9
1013,1068,291,6
1013,1071,890,15
1013,1076,304,6
1013,1082,214,9
1013,1092,192,6
1013,1097,294,7
1013,1098,1434,7
1013,1441,103,6
1014,1014,290,10
1015,1011,308,12
1015,1012,1928,58
1015,1013,1967,58
1015,1014,695,17
1015,1015,10136,265
1015,1016,1624,45
1015,1017,1551,44
1015,1018,284,8
1015,1051,519,10
1015,1052,804,21
1015,1053,450,13
1015,1054,265,8
1015,1071,560,15
1015,1075,302,12
1015,1091,318,10
1015,1101,151,6
1016,1011,457,12
1016,1012,2933,54
1016,1013,467,10
1016,1015,737,22
1016,1016,5404,142
1016,1017,2828,54
1016,1052,433,7
1016,1053,767,20
1016,1054,290,8
1016,1071,679,15
1016,1073,273,7
1016,1075,289,7
1016,2586,501,6
1017,1011,1143,30
1017,1012,3843,93
1017,1013,281,8
1017,1015,290,8
1017,1016,826,23
1017,1017,10935,306
1017,1018,918,20
1017,1019,329,7
1017,1053,219,6
1017,1054,266,9
1017,1058,269,6
1017,1071,625,23
1017,1072,721,21
1017,1073,636,24
1017,1074,909,25
1017,1075,413,12
1017,1078,551,15
1017,1079,495,14
1017,1082,497,11
1017,1091,192,7
1017,1101,216,6
1017,1118,202,7
1017,1181,163,6
1018,1011,3493,86
1018,1012,3875,106
1018,1013,804,20
1018,1015,498,17
1018,1016,596,11
1018,1017,2475,69
1018,1018,13345,388
1018,1019,1169,31
1018,1025,307,10
1018,1026,840,11
1018,1032,214,7
1018,1035,207,7
1018,1053,255,9
1018,1054,399,7
1018,1057,212,7
1018,1071,554,17
1018,1072,679,14
1018,1073,843,23
1018,1074,655,16
1018,1077,284,8
1018,1078,247,8
1018,1079,433,11
1018,1082,450,11
1018,1091,555,15
1018,1092,366,13
1018,1093,1509,44
1018,1095,714,16
1018,1096,348,12
1018,1097,342,13
1018,1098,606,19
1018,1101,174,7
1018,1102,227,8
1018,1181,301,6
1018,5932,261,10
1019,1011,628,21
1019,1012,1613,47
1019,1013,254,8
1019,1014,199,6
1019,1015,325,10
1019,1016,179,6
1019,1017,1497,46
1019,1018,1763,45
1019,1019,15198,432
1019,1033,311,8
1019,1051,237,6
1019,1053,104,6
1019,1054,222,6
1019,1071,1056,23
1019,1073,178,6
1019,1075,514,13
1019,1077,474,13
1019,1079,276,7
1019,1087,204,6
1019,1091,317,8
1019,1093,705,20
1019,1094,470,14
1019,1095,1498,34
1019,1097,292,8
1019,1098,371,13
1019,1101,389,9
1019,1102,788,7
1019,1118,217,7
1019,1181,837,11
1019,1182,208,6
1019,2042,352,6
1019,3511,279,7
1019,3531,265,8
1019,4184,411,6
1021,1011,163,6
1021,1012,537,13
1021,1015,221,10
1021,1017,209,7
1021,1021,5163,123
1021,1022,1311,35
1021,1025,809,22
1021,1031,1307,26
1021,1032,323,9
1021,1034,269,11
1021,1035,155,6
1021,1101,564,6
1022,1021,286,8
1022,1022,592,19
1022,1023,219,6
1022,1025,459,16
1022,1032,316,8
1023,1011,349,7
1023,1012,382,7
1023,1021,129,7
1023,1023,2982,72
1023,1024,700,22
1023,1025,1474,43
1023,1031,440,10
1023,1034,410,11
1023,1087,220,6
1024,1011,1211,21
1024,1012,868,28
1024,1023,709,19
1024,1024,6480,171
1024,1025,2867,74
1024,1027,896,14
1024,1031,329,9
1024,1032,440,14
1024,1034,1121,17
1024,1035,505,12
1024,1073,237,7
1024,1093,312,8
1024,1099,296,12
1025,1011,720,19
1025,1012,2184,46
1025,1013,194,6
1025,1017,260,10
1025,1021,767,25
1025,1022,381,13
1025,1023,1029,29
1025,1024,1398,31
1025,1025,11094,313
1025,1027,114,6
1025,1031,281,9
1025,1032,720,25
1025,1034,1544,38
1025,1035,682,24
1025,1051,256,10
1025,1060,175,11
1025,1081,186,6
1025,1091,279,7
1025,1092,199,6
1025,1102,319,9
1025,1121,186,7
1025,1441,270,8
1025,1511,190,7
1026,1025,218,8
1026,1026,112,6
1027,1027,116,6
1031,1012,643,16
1031,1017,226,7
1031,1021,303,9
1031,1025,545,11
1031,1031,3967,102
1031,1032,1364,35
1031,1033,234,7
1031,1034,338,7
1032,1012,612,19
1032,1021,446,13
1032,1022,250,6
1032,1023,191,7
1032,1025,574,20
1032,1031,702,18
1032,1032,2225,66
1032,1033,337,11
1032,1034,799,25
1033,1012,1619,41
1033,1021,327,8
1033,1025,1439,31
1033,1031,421,11
1033,1032,1077,32
1033,1033,7124,184
1033,1034,497,19
1033,1035,2527,74
1033,1121,396,10
1033,1506,264,7
1033,1511,206,7
1034,1012,958,27
1034,1022,352,11
1034,1024,229,7
1034,1025,2022,60
1034,1027,140,6
1034,1031,623,21
1034,1032,1895,44
1034,1033,508,11
1034,1034,8318,241
1034,1035,529,18
1034,1057,287,7
1034,1079,202,6
1034,1093,222,6
1034,1121,497,17
1034,1502,154,6
1034,1511,208,6
1035,1011,300,8
1035,1012,1236,23
1035,1013,324,11
1035,1014,148,6
1035,1025,1496,49
1035,1026,104,6
1035,1031,230,7
1035,1032,645,22
1035,1033,1416,40
1035,1034,626,21
1035,1035,6919,230
1035,1037,111,6
1035,1051,195,9
1035,1055,248,8
1035,1121,790,29
1035,1171,234,7
1035,1398,200,8
1035,1511,723,27
1036,1033,152,9
1036,1036,453,19
1043,1043,651,17
1051,1012,1960,49
1051,1013,870,23
1051,1014,865,28
1051,1015,428,9
1051,1016,203,6
1051,1017,907,21
1051,1018,429,10
1051,1019,273,6
1051,1043,110,6
1051,1051,6965,174
1051,1052,2216,59
1051,1053,1309,23
1051,1055,244,6
1051,1058,390,7
1051,1061,286,7
1051,1068,307,10
1051,1072,256,7
1052,1011,156,7
1052,1012,1179,26
1052,1013,661,17
1052,1014,314,7
1052,1015,1063,26
1052,1016,678,12
1052,1017,771,20
1052,1051,946,27
1052,1052,3517,102
1052,1053,2800,65
1052,1054,237,7
1052,1056,320,8
1052,1061,298,8
1052,1067,270,8
1052,1223,283,6
1053,1011,481,14
1053,1012,1585,46
1053,1014,248,7
1053,1016,652,18
1053,1017,1110,29
1053,1018,302,8
1053,1052,482,13
1053,1053,9509,234
1053,1054,1789,45
1053,1056,142,6
1053,1057,373,10
1053,1058,332,11
1053,1061,273,8
1053,1062,266,8
1053,1064,658,11
1053,1071,821,21
1053,1075,341,8
1053,1093,215,7
1053,1098,191,6
1053,1099,105,6
1054,1011,487,15
1054,1012,1895,48
1054,1013,256,8
1054,1015,379,12
1054,1016,500,13
1054,1017,1166,32
1054,1018,160,8
1054,1053,2315,65
1054,1054,7295,212
1054,1057,309,10
1054,1058,319,10
1054,1059,249,6
1054,1066,191,6
1054,1071,1523,40
1054,1072,263,8
1054,1073,357,11
1054,1075,546,19
1054,1076,343,15
1054,1077,501,17
1054,1078,223,7
1054,1082,191,6
1055,1011,327,7
1055,1012,2548,46
