source,sink,weight
1011,1011,268
1011,1012,195
1011,1013,75
1011,1014,29
1011,1015,41
1011,1016,85
1011,1017,200
1011,1018,88
1011,1019,37
1011,1021,12
1011,1025,16
1011,1031,21
1011,1032,6
1011,1033,22
1011,1034,3
1011,1042,3
1011,1043,55
1011,1044,3
1011,1046,3
1011,1051,12
1011,1052,6
1011,1053,14
1011,1054,43
1011,1055,11
1011,1056,5
1011,1057,3
1011,1058,13
1011,1059,17
1011,1061,11
1011,1062,41
1011,1063,4
1011,1064,3
1011,1065,3
1011,1066,48
1011,1067,8
1011,1068,14
1011,1069,5
1011,1071,83
1011,1072,31
1011,1073,14
1011,1074,12
1011,1075,29
1011,1076,30
1011,1077,72
1011,1078,8
1011,1079,17
1011,1081,52
1011,1082,44
1011,1083,26
1011,1087,16
1011,1091,32
1011,1092,8
1011,1093,13
1011,1094,10
1011,1095,3
1011,1096,38
1011,1097,40
1011,1098,22
1011,1101,81
1011,1102,34
1011,1103,5
1011,1105,63
1011,1106,4
1011,1111,10
1011,1112,12
1011,1114,11
1011,1117,13
1011,1118,29
1011,1119,45
1011,1181,14
1011,1182,5
1011,1183,9
1011,1185,10
1011,1186,8
1011,1211,3
1011,1213,17
1011,1217,31
1011,1422,3
1011,1431,4
1011,1506,3
1011,2031,4
1011,2132,25
1011,2311,4
1011,2333,13
1011,2511,5
1011,2514,8
1011,2594,3
1011,2595,10
1011,2596,4
1011,2628,3
1011,3511,8
1011,3512,3
1011,3513,5
1011,3528,7
1011,3581,7
1011,3584,20
1011,3994,3
1011,5223,3
1011,5656,4
1012,1011,72
1012,1012,532
1012,1013,65
1012,1014,29
1012,1015,54
1012,1016,87
1012,1017,223
1012,1018,70
1012,1019,49
1012,1021,3
1012,1022,4
1012,1025,7
1012,1031,15
1012,1033,15
1012,1042,3
1012,1043,40
1012,1046,4
1012,1051,17
1012,1052,9
1012,1053,9
1012,1054,38
1012,1055,8
1012,1056,4
1012,1057,4
1012,1058,3
1012,1059,19
1012,1061,3
1012,1062,37
1012,1066,39
1012,1068,12
1012,1071,80
1012,1072,36
1012,1073,13
1012,1074,7
1012,1075,31
1012,1076,21
1012,1077,69
1012,1078,4
1012,1079,9
1012,1081,44
1012,1082,44
1012,1083,27
1012,1087,15
1012,1091,21
1012,1092,4
1012,1093,3
1012,1096,34
1012,1097,25
1012,1098,19
1012,1101,79
1012,1102,29
1012,1103,3
1012,1105,40
1012,1111,3
1012,1112,9
1012,1114,6
1012,1117,12
1012,1118,33
1012,1119,35
1012,1181,7
1012,1185,7
1012,1186,10
1012,1211,3
1012,1213,22
1012,1217,17
1012,1251,3
1012,2011,9
1012,2132,25
1012,2333,5
1012,2511,3
1012,2514,6
1012,2595,9
1012,2596,6
1012,3013,3
1012,3071,4
1012,3511,9
1012,3512,5
1012,3528,8
1012,3584,14
1012,3818,3
1013,1011,134
1013,1012,340
1013,1013,494
1013,1014,109
1013,1015,128
1013,1016,176
1013,1017,371
1013,1018,188
1013,1019,86
1013,1021,28
1013,1022,12
1013,1024,9
1013,1025,45
1013,1027,3
1013,1031,48
