source,sink,count,weight
1011,1011,243,9269
1011,1012,106,4489
1011,1017,48,1714
1011,1018,41,1527
1011,1019,12,482
1011,1073,11,392
1011,1091,13,576
1012,1011,66,2591
1012,1012,417,15011
1012,1013,20,690
1012,1015,29,1169
1012,1016,32,1276
1012,1017,92,3538
1012,1018,22,728
1012,1019,17,486
1012,1054,14,525
1012,1071,12,413
1012,1073,15,590
1012,1075,17,574
1012,1077,13,385
1012,1098,12,560
1013,1011,37,1413
1013,1012,83,3817
1013,1013,439,18713
1013,1014,46,2276
1013,1015,59,2821
1013,1016,18,687
1013,1017,47,2371
1013,1018,32,1324
1013,1051,27,898
1013,1052,13,501
1013,1053,16,579
1013,1054,17,631
1013,1061,17,811
1013,1066,11,408
1013,1071,15,890
1013,1097,11,473
1013,1118,14,1000
1015,1011,16,449
1015,1012,72,2493
1015,1013,62,2072
1015,1014,18,722
1015,1015,290,11313
1015,1016,49,1723
1015,1017,59,2129
1015,1018,17,586
1015,1051,11,543
1015,1052,21,804
1015,1053,15,509
1015,1054,11,396
1015,1071,19,944
1015,1075,12,302
1015,1091,13,430
1015,1101,11,307
1016,1011,25,874
1016,1012,68,3726
1016,1013,15,740
1016,1015,27,881
1016,1016,150,5634
1016,1017,71,3447
1016,1053,27,1076
1016,1071,16,711
1017,1011,32,1213
1017,1012,114,4623
1017,1013,13,487
1017,1015,11,403
1017,1016,30,1087
1017,1017,365,13272
1017,1018,41,1544
1017,1051,11,408
1017,1054,14,391
1017,1071,27,938
1017,1072,22,753
1017,1073,27,771
1017,1074,26,945
1017,1075,12,413
1017,1078,16,569
1017,1079,18,656
1017,1082,12,551
1018,1011,96,3858
1018,1012,124,4564
1018,1013,26,973
1018,1015,21,601
1018,1016,15,800
1018,1017,97,3477
1018,1018,434,15153
1018,1019,34,1218
1018,1025,12,365
1018,1026,11,840
1018,1054,16,838
1018,1057,12,359
1018,1059,11,492
1018,1071,23,742
1018,1072,15,705
1018,1073,23,843
1018,1074,20,848
1018,1078,11,377
1018,1079,11,433
1018,1082,14,748
1018,1091,19,739
1018,1092,14,396
1018,1093,49,1673
1018,1095,16,714
1018,1096,14,417
1018,1097,23,676
1018,1098,26,828
1018,1101,11,371
1019,1011,32,1101
1019,1012,62,2079
1019,1013,11,384
1019,1015,16,610
1019,1016,11,423
1019,1017,57,1992
1019,1018,52,2032
1019,1019,462,15985
1019,1071,24,1078
1019,1075,17,575
1019,1077,16,548
1019,1091,12,475
1019,1093,22,753
1019,1094,14,470
1019,1095,35,1523
1019,1098,17,539
1019,1101,23,801
1019,1118,16,550
1019,1181,13,866
1021,1012,15,615
1021,1021,126,5291
1021,1022,37,1596
1021,1025,22,809
1021,1031,26,1307
1021,1032,11,362
1021,1034,13,322
1022,1022,19,592
1022,1025,16,459
1023,1023,75,3069
1023,1024,22,700
1023,1025,43,1474
1023,1034,12,438
1024,1011,25,1416
1024,1012,43,1557
1024,1023,19,709
1024,1024,177,6683
1024,1025,87,3281
1024,1027,14,896
1024,1032,14,440
1024,1034,19,1208
1024,1035,13,516
1024,1099,12,296
1025,1011,26,928
1025,1012,59,2759
1025,1017,11,291
1025,1021,28,859
1025,1022,16,470
1025,1023,29,1029
1025,1024,34,1486
1025,1025,326,11562
1025,1031,14,361
1025,1032,29,823
1025,1034,40,1601
1025,1035,27,808
1025,1060,11,175
1025,1102,12,389
1031,1012,25,977
1031,1025,12,569
1031,1031,105,4115
1031,1032,42,1630
1032,1012,22,715
1032,1021,13,446
1032,1025,23,713
1032,1031,20,800
1032,1032,85,2749
1032,1033,11,337
1032,1034,27,859
1033,1012,46,1981
1033,1025,34,1654
1033,1031,15,572
1033,1032,41,1367
1033,1033,197,7534
1033,1034,20,555
1033,1035,74,2527
1034,1012,40,1549
1034,1022,11,352
1034,1024,12,446
1034,1025,73,2485
1034,1031,30,1079
1034,1032,51,2149
1034,1033,16,650
1034,1034,259,8934
1034,1035,22,630
1034,1121,18,514
1035,1011,13,432
1035,1012,29,1449
1035,1013,12,348
1035,1014,11,305
1035,1025,52,1701
1035,1032,22,645
1035,1033,43,1496
1035,1034,22,655
1035,1035,240,7325
1035,1102,12,574
1035,1121,31,843
1035,1511,31,803
1036,1036,21,563
1043,1043,31,1100
1051,1012,55,2195
1051,1013,27,1001
1051,1014,29,917
1051,1015,13,617
1051,1017,32,1268
1051,1018,21,887
1051,1051,183,7238
1051,1052,62,2320
1051,1053,24,1338
1051,1068,11,331
1052,1011,11,374
1052,1012,31,1445
1052,1013,22,827
1052,1015,26,1063
1052,1016,14,793
1052,1017,29,1237
1052,1051,29,1010
1052,1052,114,3954
1052,1053,68,2907
1053,1011,18,576
1053,1012,60,2181
1053,1016,26,969
1053,1017,40,1523
1053,1018,11,391
1053,1052,15,636
1053,1053,243,9700
1053,1054,49,1992
1053,1057,17,557
1053,1058,13,359
1053,1061,12,351
1053,1064,14,738
1053,1071,32,1192
1053,1099,11,224
1054,1011,19,656
1054,1012,58,2170
1054,1013,18,626
1054,1015,14,441
1054,1016,23,894
1054,1017,44,1598
1054,1018,17,678
1054,1053,69,2443
1054,1054,226,7682
1054,1058,13,399
1054,1062,11,357
1054,1066,15,549
1054,1071,48,1883
1054,1073,13,420
1054,1075,21,591
1054,1076,19,459
1054,1077,20,601
1055,1011,18,642
1055,1012,62,3410
1055,1016,11,360
1055,1017,39,1883
1055,1018,15,556
1055,1051,15,558
1055,1053,17,484
1055,1055,270,9886
1055,1056,39,1186
1055,1057,25,978
1055,1061,103,3635
1055,1062,11,449
1055,1063,23,769
1055,1064,15,473
1055,1071,16,601
1056,1011,15,576
1056,1012,40,1538
